0.00246262,0.00202743,-0.0112372,-0.0328761,-0.0806668,-0.24071,-0.636153,-1.10459,-1.07665,-0.725799,-0.263007,0.0594932,0.290479,0.649411,0.923095,0.996113,0.999466
-0.0132689,-0.0120347,0.0203708,0.125028,0.193688,0.158002,-0.0523821,-0.146228,0.0948118,0.24954,0.416313,0.538484,0.539327,0.495212,0.483484,0.488988,0.48904
0.00602548,0.00569284,-0.0043368,-0.0619905,-0.0848441,-0.0232705,0.193575,0.951836,1.65414,1.96202,2.16603,2.00912,1.63653,1.29974,1.06485,1.00352,1.0016
-0.00430366,-0.00704114,-0.0900124,-0.362818,-0.543348,-0.485558,0.111225,1.12529,1.71839,1.73693,1.63067,1.93943,1.86853,1.44415,1.12054,1.00694,0.999976
0.000661292,0.00102374,0.0151493,0.0979053,0.375967,0.851884,1.14083,1.46019,1.9291,2.13734,2.26965,2.13168,1.72629,1.29094,1.04553,1.00142,1.00033
-0.00166991,-0.00504788,-0.0953981,-0.238328,-0.285898,0.202827,1.34217,1.82294,2.43082,3.07422,3.04876,2.05394,1.20409,0.792129,0.544857,0.501335,0.499735
-2.90111e-05,-0.000146312,-0.00330764,-0.0116177,-0.0206574,-0.024053,0.00185687,0.0843606,0.252642,0.478205,0.703575,0.871177,0.96108,0.993991,0.99972,0.999985,0.999978
-0.00167198,-0.000559036,0.0316547,0.123062,0.190598,0.274769,0.261151,-0.0510202,-0.501069,-0.368858,0.284137,0.455456,0.449502,0.685652,0.927532,0.996468,0.998829
0.0237675,0.0226362,-0.0122193,-0.115261,-0.168085,-0.131374,-0.143521,-0.209836,-0.168248,0.0554686,0.428703,0.643843,0.640449,0.559157,0.503587,0.492348,0.491758
-0.00527673,-0.00409666,0.0303484,0.107287,0.125341,0.203959,0.460982,0.845012,1.21415,1.82845,2.49647,2.46422,1.98154,1.4481,1.08765,1.0028,1.00021
0.0115128,0.0143649,0.0958295,0.286856,0.367904,0.369909,0.52384,1.08891,1.18711,1.04111,1.33072,1.5367,1.56252,1.35153,1.09506,1.00777,1.00166
-0.00179683,-0.00142918,0.00891879,0.0213087,0.00901671,0.0902275,0.347164,0.795438,1.41129,2.19041,2.71146,2.44763,1.81376,1.29437,1.04556,1.00057,0.999398
0.00432722,0.00823741,0.121793,0.526841,1.01597,1.38382,2.01629,2.54443,2.79925,3.34307,2.73103,1.6914,1.18548,0.805987,0.565709,0.502312,0.499972
-4.03679e-06,0.00016197,0.00506979,0.0242611,0.0633375,0.134288,0.230441,0.351521,0.509756,0.694713,0.85759,0.953707,0.992333,1.00176,1.00089,1.00003,0.999992
0.098949,0.0984784,0.0885757,0.0243727,-0.0527719,0.00707055,0.21613,0.325158,0.204559,0.22142,0.204883,0.0398392,-0.0364502,-0.00195782,0.0130482,0.00227235,-0.00293142
-0.00909224,-0.0092822,-0.0109269,-0.0181107,-0.0295098,-0.0530845,-0.125433,-0.231977,-0.255352,-0.16275,-0.0870385,-0.0851277,-0.165469,-0.334121,-0.504182,-0.604937,-0.635081
1.20202,1.20012,1.17316,1.08289,0.965058,0.892834,0.80284,0.673955,0.602993,0.527523,0.477582,0.544603,0.614638,0.672351,0.711815,0.710844,0.705165
0.206999,0.20662,0.19904,0.158488,0.0662273,0.0859509,0.284144,0.369261,0.320251,0.334171,0.292527,0.0954091,0.0550686,0.108402,0.113406,0.102482,0.0950814
0.00685563,0.00690684,0.00636348,0.000827185,-0.0173415,-0.0425362,-0.121224,-0.251576,-0.328326,-0.247233,-0.0848341,0.00345408,0.0030241,-0.188345,-0.415644,-0.546973,-0.591699
1.21476,1.21297,1.18642,1.07711,0.855657,0.647282,0.571699,0.565351,0.520087,0.389967,0.271852,0.357222,0.598061,0.708928,0.704256,0.685136,0.674372
0.303272,0.302688,0.296917,0.280964,0.221373,0.198264,0.339282,0.457859,0.458107,0.4528,0.36542,0.190741,0.180092,0.209567,0.183536,0.159531,0.149893
0.0196867,0.0195713,0.0191109,0.0149787,-0.00426381,-0.0382926,-0.122823,-0.260395,-0.378787,-0.327714,-0.0946624,0.0949346,0.126888,-0.0637155,-0.306088,-0.465066,-0.520584
1.25027,1.24817,1.21943,1.10241,0.816223,0.443396,0.3651,0.525469,0.475466,0.282715,0.100613,0.223429,0.593457,0.75499,0.750062,0.716434,0.697479
0.397336,0.39721,0.396592,0.394924,0.382535,0.352947,0.399666,0.533931,0.604825,0.578992,0.44412,0.335903,0.328386,0.303596,0.247512,0.217491,0.212342
0.0157954,0.015912,0.0163357,0.0165546,0.00718598,-0.0405445,-0.131944,-0.269797,-0.402995,-0.38897,-0.11841,0.173468,0.190431,0.0343722,-0.207606,-0.410362,-0.480699
1.26907,1.26744,1.24181,1.12954,0.814231,0.311557,0.199635,0.482724,0.469261,0.206572,-0.0191252,0.183639,0.57984,0.797903,0.82132,0.76629,0.740156
0.492236,0.492787,0.497609,0.509808,0.540809,0.536575,0.511757,0.616181,0.747198,0.714253,0.558152,0.498765,0.480585,0.419349,0.364253,0.32711,0.314204
0.00760965,0.00767438,0.00787444,0.0103304,0.00856419,-0.0485286,-0.15427,-0.277132,-0.403962,-0.411455,-0.134562,0.195305,0.207838,0.0487157,-0.199774,-0.428047,-0.510934
1.26729,1.26546,1.23855,1.1254,0.816422,0.290785,0.120839,0.469077,0.487783,0.174604,0.0358311,0.234929,0.576866,0.818666,0.849159,0.773069,0.735026
0.590609,0.591158,0.598216,0.626686,0.694468,0.706647,0.629379,0.699162,0.878027,0.825837,0.643577,0.647944,0.62002,0.495742,0.426045,0.407971,0.405732
0.0139596,0.0137483,0.0117154,0.0057291,-0.00705646,-0.0624193,-0.172694,-0.281307,-0.382272,-0.372598,-0.126763,0.156679,0.174416,-0.0518757,-0.312235,-0.495968,-0.561601
1.24862,1.24665,1.21834,1.10206,0.815106,0.381019,0.220402,0.489,0.513333,0.247395,0.176455,0.349887,0.6182,0.780224,0.779893,0.720729,0.69224
0.694374,0.694824,0.703627,0.751796,0.83936,0.843514,0.734715,0.789391,0.978251,0.883547,0.740535,0.773558,0.708194,0.571745,0.506565,0.502234,0.508987
-0.00103181,-0.000805344,0.0015759,8.55593e-05,-0.0362294,-0.0825781,-0.183119,-0.299874,-0.324377,-0.305065,-0.111343,0.0822656,0.0624998,-0.175821,-0.432518,-0.579094,-0.625989
1.22491,1.22307,1.19604,1.08237,0.837609,0.54742,0.395424,0.505991,0.558905,0.386219,0.355994,0.509913,0.688129,0.732037,0.70106,0.678547,0.669356
